Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,Portugal,Portugal,PT,60.05,104.1,85.21,85.21,entsoe.eu,false,
2021-01-01 01:00:00,Portugal,Portugal,PT,60.8,105.25,85.03,85.03,entsoe.eu,false,
2021-01-01 02:00:00,Portugal,Portugal,PT,63.91,111.65,83.39,81.42,entsoe.eu,false,
2021-01-01 03:00:00,Portugal,Portugal,PT,57.96,103.81,85.54,79.58,entsoe.eu,false,
2021-01-01 04:00:00,Portugal,Portugal,PT,54.18,99.38,86.68,80.03,entsoe.eu,false,
2021-01-01 05:00:00,Portugal,Portugal,PT,55.14,101.23,86.4,79.76,entsoe.eu,false,
2021-01-01 06:00:00,Portugal,Portugal,PT,57.33,104.13,85.93,78.46,entsoe.eu,false,
2021-01-01 07:00:00,Portugal,Portugal,PT,55.72,102.35,86.24,79.69,entsoe.eu,false,
2021-01-01 08:00:00,Portugal,Portugal,PT,53.94,100.14,86.67,80.2,entsoe.eu,false,
2021-01-01 09:00:00,Portugal,Portugal,PT,50.54,94.12,87.54,81.33,entsoe.eu,false,
2021-01-01 10:00:00,Portugal,Portugal,PT,47.74,89.78,88.24,82.0,entsoe.eu,false,
2021-01-01 11:00:00,Portugal,Portugal,PT,48.25,89.74,88.21,80.89,entsoe.eu,false,
2021-01-01 12:00:00,Portugal,Portugal,PT,45.19,84.71,88.97,82.44,entsoe.eu,false,
2021-01-01 13:00:00,Portugal,Portugal,PT,42.08,79.7,89.63,84.35,entsoe.eu,false,
2021-01-01 14:00:00,Portugal,Portugal,PT,52.32,93.23,86.98,81.24,entsoe.eu,false,
2021-01-01 15:00:00,Portugal,Portugal,PT,65.73,110.94,83.12,79.23,entsoe.eu,false,
2021-01-01 16:00:00,Portugal,Portugal,PT,83.26,131.27,79.88,79.25,entsoe.eu,false,
2021-01-01 17:00:00,Portugal,Portugal,PT,86.41,128.1,82.65,82.65,entsoe.eu,false,
2021-01-01 18:00:00,Portugal,Portugal,PT,83.89,123.32,83.9,83.9,entsoe.eu,false,
2021-01-01 19:00:00,Portugal,Portugal,PT,74.04,110.19,87.0,87.0,entsoe.eu,false,
2021-01-01 20:00:00,Portugal,Portugal,PT,70.61,106.43,87.48,87.48,entsoe.eu,false,
2021-01-01 21:00:00,Portugal,Portugal,PT,83.88,123.7,84.08,84.08,entsoe.eu,false,
2021-01-01 22:00:00,Portugal,Portugal,PT,75.59,116.3,85.03,82.74,entsoe.eu,false,
2021-01-01 23:00:00,Portugal,Portugal,PT,80.4,128.63,81.04,73.97,entsoe.eu,false,
2021-01-02 00:00:00,Portugal,Portugal,PT,74.06,122.46,81.69,72.18,entsoe.eu,false,
2021-01-02 01:00:00,Portugal,Portugal,PT,73.26,122.53,81.96,72.25,entsoe.eu,false,
2021-01-02 02:00:00,Portugal,Portugal,PT,67.39,114.28,83.76,72.6,entsoe.eu,false,
2021-01-02 03:00:00,Portugal,Portugal,PT,68.6,116.38,83.43,72.25,entsoe.eu,false,
2021-01-02 04:00:00,Portugal,Portugal,PT,65.93,114.67,83.93,74.49,entsoe.eu,false,
2021-01-02 05:00:00,Portugal,Portugal,PT,68.04,117.42,83.2,75.0,entsoe.eu,false,
2021-01-02 06:00:00,Portugal,Portugal,PT,84.63,138.66,78.78,70.83,entsoe.eu,false,
2021-01-02 07:00:00,Portugal,Portugal,PT,97.24,155.97,74.75,70.56,entsoe.eu,false,
2021-01-02 08:00:00,Portugal,Portugal,PT,93.06,149.42,75.78,72.16,entsoe.eu,false,
2021-01-02 09:00:00,Portugal,Portugal,PT,91.71,146.52,76.25,71.72,entsoe.eu,false,
2021-01-02 10:00:00,Portugal,Portugal,PT,93.38,148.41,75.89,70.41,entsoe.eu,false,
2021-01-02 11:00:00,Portugal,Portugal,PT,96.18,152.08,75.33,68.42,entsoe.eu,false,
2021-01-02 12:00:00,Portugal,Portugal,PT,95.32,150.26,75.58,68.59,entsoe.eu,false,
2021-01-02 13:00:00,Portugal,Portugal,PT,95.68,148.88,76.68,69.86,entsoe.eu,false,
2021-01-02 14:00:00,Portugal,Portugal,PT,96.14,151.25,75.61,67.99,entsoe.eu,false,
2021-01-02 15:00:00,Portugal,Portugal,PT,97.37,152.13,75.3,67.71,entsoe.eu,false,
2021-01-02 16:00:00,Portugal,Portugal,PT,102.0,156.51,74.43,66.52,entsoe.eu,false,
2021-01-02 17:00:00,Portugal,Portugal,PT,106.49,152.49,78.76,74.03,entsoe.eu,false,
2021-01-02 18:00:00,Portugal,Portugal,PT,102.86,144.97,80.83,77.37,entsoe.eu,false,
2021-01-02 19:00:00,Portugal,Portugal,PT,100.42,143.71,80.19,76.02,entsoe.eu,false,
2021-01-02 20:00:00,Portugal,Portugal,PT,97.69,143.82,78.76,72.39,entsoe.eu,false,
2021-01-02 21:00:00,Portugal,Portugal,PT,90.58,139.63,77.71,70.57,entsoe.eu,false,
2021-01-02 22:00:00,Portugal,Portugal,PT,89.13,145.1,76.49,76.49,entsoe.eu,false,
2021-01-02 23:00:00,Portugal,Portugal,PT,81.77,130.81,79.71,70.78,entsoe.eu,false,
2021-01-03 00:00:00,Portugal,Portugal,PT,69.22,114.78,83.38,71.98,entsoe.eu,false,
2021-01-03 01:00:00,Portugal,Portugal,PT,70.1,116.77,83.21,70.93,entsoe.eu,false,
2021-01-03 02:00:00,Portugal,Portugal,PT,70.76,118.08,83.03,70.57,entsoe.eu,false,
2021-01-03 03:00:00,Portugal,Portugal,PT,74.57,123.41,82.15,69.06,entsoe.eu,false,
2021-01-03 04:00:00,Portugal,Portugal,PT,74.68,124.08,82.07,69.07,entsoe.eu,false,
2021-01-03 05:00:00,Portugal,Portugal,PT,75.94,125.67,81.81,68.33,entsoe.eu,false,
2021-01-03 06:00:00,Portugal,Portugal,PT,79.08,129.85,80.86,67.52,entsoe.eu,false,
2021-01-03 07:00:00,Portugal,Portugal,PT,95.85,150.22,76.28,64.5,entsoe.eu,false,
2021-01-03 08:00:00,Portugal,Portugal,PT,102.83,160.6,73.59,67.28,entsoe.eu,false,
2021-01-03 09:00:00,Portugal,Portugal,PT,97.88,150.1,77.14,73.5,entsoe.eu,false,
2021-01-03 10:00:00,Portugal,Portugal,PT,96.37,145.88,78.67,75.12,entsoe.eu,false,
2021-01-03 11:00:00,Portugal,Portugal,PT,87.16,138.93,77.71,72.23,entsoe.eu,false,
